current weather in Auburn: few clouds, 66°F 56% humidity, wind 3mph, pressure 1019mb	47.31	-122.23
current weather in Fremont: haze, 75°F 62% humidity, wind 13mph, pressure 1014mb	37.55	-121.98
Thanks For The Likes, Jessie Taylor 🌹😘❤️️ (@ smoke Shop in Indianapolis, IN) https://t.co/DSgZWEJX6M	39.76	-86.073
This #job might be a great fit for you: PRACTICE NURSE MELANOMA ONCOLOGY DISEASE TEAM; Registered Nurse - https://t.co/KoWaYlJhKI #Nursing	41.305	-72.927
current weather in Salinas: clear sky, 67°F 44% humidity, wind 6mph, pressure 1014mb	36.67	-121.65
Life on the bridge. #collinsville #collinsvillect #connecticut #bridge @ Collinsville, Connecticut https://t.co/4bwXnhAZSt	41.817	-72.919
Thanks For The Likes, Jessie Taylor 🌹😘❤️️ (@ Dixies House in Indianapolis, IN) https://t.co/DFO1wiXywV	39.763	-86.065
The weather in Waterloo today got me HYPED up for all the festivals I'll be missing this summer,… https://t.co/ihGfCpNfxc	43.475	-80.45
current weather in Sammamish: few clouds, 66°F 56% humidity, wind 3mph, pressure 1019mb	47.59	-122.12
Time to go see some family (at @United Airlines in Los Angeles, CA) https://t.co/P53xVVkT9o	33.942	-118.4
Let's do this Mission!! Spirit Week!! #beyou #bemagenta #missiontxtech #TEX #TEXperts  -LA @… https://t.co/eaxh3IcgfN	26.162	-98.292
#wcl👩‍🚀 @ Las Vegas, Nevada https://t.co/XBgt16PZVM	36.175	-115.136
1,774 users and 1,776 tweets (1753 RTs) in 2 days made 'Colours 2' a Trending Topic in United States. #trndnl	38.899	-77.029
@KGAEnclosures the 1st mention of 'Colours 2' appears on your TL. Now is Trending Topic in United States! #trndnl	38.899	-77.029
current weather in Vitoria: shower rain, 18°C 93% humidity, wind 3kmh, pressure 1019mb	42.85	-2.69
USGS reports a M1.66 #earthquake 20km SE of Bodfish, CA on 6/2/17 @ 4:35:15 UTC https://t.co/CcHt8U2OEB #quake	35.453	-118.337
current weather in Valencia: scattered clouds, 19°C 82% humidity, wind 1kmh, pressure 1018mb	39.46	-0.37
I'm at Stan Musial Veterans Memorial Bridge - @missriverbridge in St. Louis, MO https://t.co/R085ByRYvW	38.646	-90.179
Accident on the right shoulder in #Bloomington on 35W NB at 82nd St, stop and go traffic back to 90th St, delay of 3 mins #traffic	44.855	-93.298
See our latest #Lebanon, KY #job and click to apply: Bilingual Store Counter Sales - #hiring #career https://t.co/wZI9PnpTr2	37.564	-85.266
See our latest #Hagerstown, MD #job and click to apply: Distribution Center Maintenance Technician II - https://t.co/8XVkxvtoU6 #Hiring	39.642	-77.72
